index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,indice,Cambio,ScoreLEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1
3208,505-833,29,505-833PL2,Absent,2613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31.0,1,Unicorn_Absent,-1,-1,Unicorn_Absent,-436,0.99375,0.0,RS,3208,0,31.0,1,0.0,64,0.421875,0.984375,0.03125,,0.4,0.0,0.421875,RS,RS,RS,0.03125
3209,505-833,30,505-833PL2,Absent,4469,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,1,Unicorn_Absent,-1,-1,Unicorn_Absent,-405,0.99375,1.0,RS,3209,0,31.0,1,0.0,64,1.0,0.984375,0.03125,31.0,0.99375,0.0,0.421875,RS,RS,RS,0.03125
3215,505-833,36,505-833PL2,Absent,3927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,-504,1.0,0.0,RS,3215,0,31.0,1,0.0,16,0.0625,0.25,0.03571428571428571,,0.4,0.0,0.0,RS,RS,RS,0.03125
3221,505-833,42,505-833PL2,Absent,15742,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,17,16,0,0,0,0,0,0,0,15,0,0,25,14,0,8,7,0,0,6,0,0,13,0,1,22,0,5,0,0,12,9,0,23,0,0,24,0,0,0,21,2,3,4,0,0,11,10,0,0,0,0,0,0,0,0,20,19,18,0,0,29.0,3,Unicorn_Absent,-1,-1,Unicorn_Absent,-518,0.98125,2.0,RS,3221,0,28.0,25,0.14285714285714285,32,0.022857142857142854,0.453125,0.390625,,0.9875,0.45161290322580644,0.16114982578397213,RS,RS,RS,0.234375
3224,505-833,45,505-833PL2,Absent,9093,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,20,18,0,0,0,0,7,0,0,0,0,0,0,8,0,0,5,0,17,16,0,0,9,0,0,4,0,0,0,10,0,1,2,0,0,15,0,0,11,0,0,14,0,0,0,0,12,0,13,0,0,0,26.0,6,Unicorn_Absent,-1,-1,Unicorn_Absent,-432,0.9625,0.0,RS,3224,0,-64.0,18,0.16,37,0.08857142857142858,0.484375,0.35,,1.0,0.30434782608695654,0.14814814814814814,RS,RS,RS,0.2702702702702703
3225,505-833,46,505-833PL2,Present,9390,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,11,13,0,6,0,0,0,3,12,0,10,0,0,0,8,0,0,0,0,0,9,0,0,0,-64.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,-496,0.4,6.0,RS,3225,0,14.0,12,0.30434782608695654,16,0.26863354037267084,0.25,0.2571428571428571,26.0,0.9625,0.18518518518518517,0.08857142857142858,RS,RS,RS,0.35
3240,538-623,1,538-623PL1,Absent,45619,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,24,23,22,21,20,19,18,17,25,26,27,28,29,30,31,32,40,39,38,37,36,35,34,33,64,59,58,53,47,49,46,41,63,60,57,54,51,48,45,42,62,61,56,55,50,52,44,43,2.0,30,Unicorn_Absent,-1,-1,Unicorn_Absent,2,0.8125,,ALL,3240,0,-31.0,64,,64,,0.53125,1.0,,,0.984375,,,RS,RS,
3247,538-623,8,538-623PL1,Absent,29456,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,31,32,33,34,12,48,11,30,37,8,36,35,49,9,47,29,38,7,39,6,28,27,5,44,26,25,1,40,42,41,43,45,0,2,24,3,50,54,52,46,0,23,56,22,55,17,53,13,0,0,0,20,21,0,16,0,0,0,0,0,0,0,15,14,-19.0,51,Unicorn_Absent,-1,-1,Unicorn_Absent,-19,0.68125,10.0,RS,3247,0,-22.0,51,0.5660377358490566,64,0.3160377358490566,0.203125,0.796875,,0.9375,0.640625,0.25,RS,RS,RS,0.5609756097560976
3251,538-623,12,538-623PL1,Absent,31614,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,24,23,20,21,22,9,8,12,54,11,19,18,17,10,7,13,14,53,15,51,16,35,6,47,48,49,52,1,36,34,5,46,45,44,2,3,37,33,4,42,43,41,40,39,38,32,31,65,26,61,27,59,28,29,30,64,63,62,60,57,58,56,55,-32.0,64,Unicorn_Absent,-1,-1,Unicorn_Absent,-76,0.6,59.0,ALL,3251,0,-31.0,64,0.921875,64,0.078125,0.0,1.0,,0.63125,0.984375,0.515625,RS,RS,RS,0.921875
3254,538-623,15,538-623PL1,Absent,33269,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,21,17,18,15,14,13,12,23,20,35,24,27,26,11,28,37,36,34,33,32,31,30,29,38,39,2,42,41,40,10,9,45,44,46,47,56,55,53,8,69,68,67,63,57,4,52,7,70,5,66,62,61,58,51,48,71,72,65,64,60,59,50,49,-32.0,64,Unicorn_Absent,-1,-1,Unicorn_Absent,-119,0.6,12.0,ALL,3254,0,-28.0,64,0.375,64,0.15625,0.0,1.0,,0.925,0.9375,0.171875,RS,RS,RS,0.42857142857142855
